word,decade_start,frequency,semantic_change,polysemy
paraît,1810s,288,1.0611494034111033,0.7819701958524289
caractère,1810s,580,1.0782223587835924,0.788091917355558
pensant,1810s,258,1.0723157794671228,0.7858526544193375
service,1810s,417,1.0364108322094574,0.7822745640144626
voulut,1810s,755,0.9527239567151302,0.7449743793348883
esclaves,1810s,138,0.9872418318740784,0.8002606853651566
carrière,1810s,121,0.9597962037371126,0.7869698387492549
secret,1810s,633,0.9505275515353322,0.7747316908353021
retenir,1810s,150,1.0258548987752905,0.7775446255312135
partir,1810s,608,0.8613743054959211,0.7649546852175522
arrivée,1810s,535,0.9397976732096268,0.7636198694291931
juger,1810s,158,1.1155340505998272,0.7981168715993103
court,1810s,166,0.9981335947906812,0.787252240365206
inutilement,1810s,130,1.0551835169631445,0.8064758192766398
calmer,1810s,129,0.9974894205926984,0.7881834842890847
mystère,1810s,286,1.0099393543971673,0.7895121128574512
horreur,1810s,192,1.0387813818853835,0.7935284201353117
perdu,1810s,414,1.0710578631482486,0.7723149937575452
contraire,1810s,239,1.0206374466704164,0.8038669532098884
envoyé,1810s,365,0.9545346068713264,0.7819368317463166
chien,1810s,135,1.092250969126053,0.7887856796719365
pris,1810s,636,0.971531873389319,0.7208918456564298
vue,1810s,753,1.0211878852231948,0.7921042773523801
réellement,1810s,191,0.9431315454955784,0.8059530654897452
effectivement,1810s,104,1.0354471412982995,0.8061521965144435
charmant,1810s,100,0.9647642507171644,0.8145892781353338
but,1810s,242,0.942034646495804,0.7865627810636603
abandonner,1810s,280,1.0518946366154545,0.8011706892250554
geôlier,1810s,101,0.9525453527395206,0.756143468512822
tendre,1810s,549,1.097350280650751,0.7297122944310063
motif,1810s,359,0.8813978230740817,0.7944769835463086
crains,1810s,167,0.9285064188282354,0.7170234223456805
crois,1810s,839,1.009124436836422,0.5881328967245587
rapports,1810s,120,1.0495416495292966,0.7977204062839648
voulait,1810s,634,0.9624690989310412,0.7549714420023598
chrétiens,1810s,367,1.0402446187579533,0.7877984577154752
hôtes,1810s,135,0.981344615928359,0.8230761669604991
céder,1810s,212,0.9962465842932334,0.7538864736431512
difficile,1810s,162,1.061890595794686,0.7600553957929685
frayeur,1810s,106,0.9412719792630032,0.7882687149887213
domestiques,1810s,123,1.1262195399939408,0.7876857756407591
bienfaits,1810s,179,1.0443497360762102,0.7960190740608407
incapable,1810s,134,1.064513496913321,0.7652473886710186
promets,1810s,120,0.9647750397722676,0.7374871944455424
preuve,1810s,324,0.9962114910350156,0.7917555475814098
dernière,1810s,461,1.036731392777664,0.7861095981339253
craintes,1810s,175,1.0490171181601646,0.7794758686180366
violent,1810s,100,1.0641873630120655,0.786265361620426
héros,1810s,209,1.0607957167895852,0.8168325809401497
acte,1810s,124,1.028397984182888,0.7949613365756865
charmante,1810s,282,1.1005953847339125,0.7747577774717282
ouvrir,1810s,247,1.1287807618497014,0.7743229358701991
intérieurement,1810s,121,0.9800120609315456,0.7654752578984554
revenir,1810s,289,0.9581430686728224,0.7845696472682253
satisfaire,1810s,176,1.0203938447856442,0.8130503558798836
jugement,1810s,204,0.9393733295976748,0.7949643502127369
questions,1810s,207,0.9685573357272844,0.7832058767443303
devaient,1810s,210,1.0587739133992138,0.7884443021103944
fond,1810s,422,1.0422642553623604,0.7867892112561278
erreur,1810s,164,0.9775166204613492,0.8163941343980984
agréable,1810s,245,0.9654088296408964,0.7919172628299371
idées,1810s,173,1.0404131736522786,0.7786556109281086
appartement,1810s,440,1.050427057355532,0.7157742488792922
apprendre,1810s,435,1.0475558002211534,0.7952150007427297
château,1810s,1722,0.9105467159310754,0.7516863597600696
donne,1810s,488,0.966273619350442,0.7843014330742241
vertu,1810s,309,1.0173958523839977,0.7586416611260394
obscurité,1810s,100,1.0541727205400635,0.8225268015493645
envie,1810s,206,1.023147344252967,0.7883616257751538
certitude,1810s,167,1.0713905254191007,0.7952187098159136
devenir,1810s,316,1.0518256365705274,0.7981680436380445
chose,1810s,819,1.0468762438259784,0.7583600471998456
défendre,1810s,167,0.9529387028987388,0.8086194636654962
écuyer,1810s,182,1.0978359581381167,0.7850792372416204
décidée,1810s,128,0.9610419962908768,0.807778024972821
étranger,1810s,454,0.979771145635876,0.778725993451522
ouvrage,1810s,364,0.9668971799563396,0.7920713612234197
reconnut,1810s,148,1.0457652268946518,0.7683054282643949
rougir,1810s,102,0.9985881516259788,0.801431095318509
rarement,1810s,127,0.914811660202386,0.8059339452787668
braver,1810s,112,1.0807972427894648,0.7717974824933522
chevaux,1810s,430,0.8458329017146731,0.768117355789472
réussir,1810s,150,0.9292575591976991,0.7914036760795218
apprit,1810s,286,1.086761047441861,0.7693982009004102
appelé,1810s,146,1.0758728765838763,0.8077050037102584
prie,1810s,167,0.9836450458626724,0.7518748565914942
détruire,1810s,163,0.954397721688736,0.7921498945940683
arbres,1810s,112,1.034178067621553,0.8078789753307799
triomphe,1810s,165,1.0257225159634278,0.796076508045787
événemens,1810s,116,1.0890419949565813,0.7683530351683262
invitation,1810s,106,0.9929286253023638,0.7852851452337324
craindre,1810s,264,1.0319808818193394,0.7709121755969575
honnête,1810s,211,0.923403106246242,0.7328496705136869
curiosité,1810s,406,0.9742433613909154,0.7968776647885838
demeure,1810s,161,0.9553315142238332,0.7876079649918576
angleterre,1810s,242,1.0383477727387185,0.7879165630328075
sire,1810s,382,0.9922045365880438,0.7685244316457857
chapelle,1810s,121,1.0182064623597775,0.7500047302401804
jouir,1810s,164,0.9632864311213116,0.789782223804419
objet,1810s,616,1.0245434618594609,0.7840549407834239
eus,1810s,172,1.098982280110726,0.769525257953771
