word,semantic_change,frequency,polysemy
blangy,1.0755767993582568,223.0,0.3810291200105819
serrèrent,1.0755231102225418,330.2,0.6072775758680389
lézards,1.075397139955902,117.0,0.6765568713996473
agaçant,1.075375917051568,116.0,0.7607124754745781
poteaux,1.0753418414104683,152.0,0.7407442615997111
ressemblât,1.075268865936158,110.0,0.7344807847715402
lanières,1.0752488462554368,192.0,0.7207128879565704
toinette,1.0751501851179408,300.0,0.7238076713477468
tournoyer,1.0750698568625963,182.5,0.718576205387079
frénétiquement,1.0750066442564234,110.0,0.7413719175645912
maigri,1.0749448994648765,121.0,0.6525146111573484
accepterai,1.0748816878920753,150.0,0.6387211825251756
tallien,1.0748795185701072,296.0,0.4955582851778087
rembourser,1.07485841017017,298.0,0.4694624976216103
tenanciers,1.0748205502034465,150.0,0.6549685039369347
reims,1.0747772519125105,224.5,0.7064737656774114
incarnation,1.0747649970900506,165.0,0.7120920582182874
gildas,1.074754344207528,103.0,0.6869696664146152
tapissé,1.0747162149495395,114.5,0.7260003865867107
ondulation,1.074634854031016,126.0,0.7435597938984466
nazaire,1.0746092866868555,181.0,0.6170891008720055
tricoter,1.0745372451186943,110.0,0.6232206055715828
magnanime,1.07449872137289,120.0,0.7024687022768945
résistaient,1.0744132776590385,116.0,0.7455817807136844
vendeurs,1.0743182833529523,140.0,0.6808775134411035
dissipait,1.0742845910659202,119.5,0.6784961249768786
représentez,1.074278425994823,146.0,0.7283234282404079
planta,1.0742220415787829,324.8,0.7308244531320327
mettrons,1.0741755138712523,253.75,0.6468416419654515
cérémonieusement,1.074173671419422,121.0,0.6648771188721011
vendeur,1.07417170409442,148.0,0.7399813219783854
hargneux,1.0741643304485788,126.5,0.6641570680342352
manœuvrait,1.0741628121223363,140.5,0.64493539333966
auge,1.0741282191892898,175.0,0.7109566822256459
tapé,1.0740946522250403,105.0,0.7352618926654312
tressaille,1.0740652858934083,145.0,0.6913119749532671
réchauffe,1.0738975327545117,113.5,0.727515563095811
grisou,1.073881756581998,199.0,0.4497279091403127
turque,1.073825839763619,232.5,0.7242824535120203
bronzes,1.073804811878163,208.5,0.5694619676304411
satisfaisait,1.0738012459495123,122.0,0.7295312151480773
prétavoine,1.0737970135492017,766.0,0.607853207809755
arbalète,1.0737332364878442,182.0,0.7491922848843753
catalogue,1.073588288270952,120.5,0.7114302422779738
nomades,1.073587244219067,220.66666666666666,0.6617672552848071
chambrette,1.0735846472538126,222.66666666666666,0.697776976771069
manquée,1.073521798599913,203.5,0.7378004055272712
advienne,1.0735081636787862,151.0,0.5906110181601283
bazaine,1.0734976571807755,100.0,0.6736283723080082
étés,1.0734738256979703,159.5,0.6976391434339486
réalisa,1.0734428719747566,165.0,0.6983562690020881
continuais,1.0733366469905887,118.0,0.5095138581847164
causeur,1.073328443530864,193.5,0.5487583865152017
tronçon,1.0731548079450524,147.5,0.6774408808461381
confidents,1.0731212647976551,103.0,0.7382333184904664
yankee,1.0731135347219845,392.0,0.6545174916758304
penserai,1.0730477602764008,141.0,0.5182739167266076
assignats,1.0729226160011986,400.0,0.4444274782598528
jouve,1.0728069967964315,144.0,0.6871475692841236
flatteurs,1.0726336568114783,172.0,0.6898371372900177
effaroucher,1.0726008979682078,140.0,0.711303252398473
vêtemens,1.0725257799928378,161.0,0.7796080606394937
gutenberg,1.072486856637978,192.0,0.1273212204632539
vigilante,1.0724117820866883,120.0,0.5662695223788419
sommaire,1.0722615803985835,242.0,0.6045995465812029
prétextant,1.072225294599864,162.5,0.7159899804918404
